Trial Number,Trial Phase,Time,Position X,Position Y,Position Z
1,1,105.8585,0.2257179,0.7294428,0.3096171
1,1,105.9648,0.2259273,0.7295793,0.3094549
1,1,106.2254,0.2257182,0.7285234,0.310622
1,1,106.3272,0.2257256,0.7266874,0.3126249
1,1,106.4316,0.2257363,0.7230861,0.3145667
1,1,106.5319,0.225534,0.7104568,0.3184782
1,1,106.632,0.2253186,0.6996126,0.3224941
1,1,106.7339,0.2242604,0.6768115,0.3259035
1,1,106.8369,0.2312128,0.6412705,0.3213161
1,1,106.9396,0.2370692,0.6342366,0.3251012
1,1,107.0399,0.2621713,0.6004109,0.3092935
1,1,107.14,0.2733296,0.5522461,0.3177264
1,1,107.2509,0.3252698,0.488477,0.302678
1,1,107.351,0.3859576,0.3474984,0.3157815
1,1,107.4622,0.3933884,0.3067601,0.3298238
1,1,107.5731,0.378409,0.2865299,0.3441002
1,1,107.6843,0.3045893,0.2088706,0.336044
1,1,107.7955,0.2523319,0.03523914,0.3305512
1,1,107.9064,0.1875803,-0.2829032,0.4002035
1,1,108.0066,0.1081054,-0.6628768,0.3868266
1,1,108.1175,-0.02930757,-0.7842593,0.3658988
1,1,108.2176,-0.06251535,-0.7857448,0.3702731
1,1,108.3287,-0.01967829,-0.7839637,0.3131927
1,1,108.4397,0.09550866,-0.7796946,0.06827751
1,1,108.5398,0.2039218,-0.8434204,-0.2394651
1,1,108.651,0.3090592,-0.8432733,-0.4554412
1,1,108.751,0.220439,-0.8480431,-0.5297533
1,1,108.862,-0.116139,-0.7853984,-0.7074777
1,1,108.9731,-0.6343751,-0.7949411,-0.8472803
1,1,109.0842,-0.9926143,-0.8175424,-0.7452746
1,1,109.1952,-0.9674232,-0.8441743,-0.3245093
1,1,109.2953,-0.7354122,-0.841375,-0.2608995
1,1,109.4064,-0.1878211,-0.899255,-0.3670711
1,1,109.5175,0.3120946,-0.8913988,-0.3575879
1,1,109.6287,0.3641833,-0.8627297,-0.2769579
1,1,109.7397,0.3715155,-0.8625629,-0.5389851
1,1,109.8507,0.8586088,-0.9012173,-0.9703191
1,1,109.9508,0.9194835,-0.8670083,-1.031018
1,1,110.0619,0.8558978,-0.917785,-0.6341949
1,1,110.1731,1.177877,-0.9405481,-0.3670599
1,1,110.2841,0.8610257,-0.9533848,-0.2360866
1,1,110.3951,0.651452,-0.9530366,-0.1466224
1,1,110.5063,0.5802525,-0.9564808,-0.1690434
1,1,110.6064,0.5836051,-0.966559,-0.1488633
1,1,110.7174,0.4692011,-0.9135268,-0.0355947
1,1,110.8286,-0.5324026,-0.9703991,0.08915293
1,1,110.9396,-0.5285378,-0.9811607,0.3599904
1,1,111.0397,-0.5139737,-1.008394,0.3825698
1,1,111.1507,-0.3854226,-1.012144,0.3822755
1,1,111.2507,-0.2360907,-1.005879,0.3839685
1,1,111.3509,-0.241147,-1.006391,0.403224
1,1,111.4618,-0.1449666,-0.9636182,0.4207139
1,1,111.5619,1.329596,-0.9918097,1.269402
1,1,111.662,1.82984,-1.087597,1.379884
1,1,111.7731,1.366107,-1.023901,1.516788
1,1,111.8841,0.6117437,-1.012392,1.214175
1,1,111.9951,0.1737687,-1.074849,0.7545543
1,1,112.0951,0.3532556,-1.065245,0.6846047
1,1,112.2063,0.3534777,-1.067007,0.6908476
1,1,112.3175,0.3483837,-1.064045,0.7029821
1,1,112.4284,0.3452818,-1.059855,-0.3099265
1,1,112.5394,0.07329553,-1.066439,-0.5269342
1,1,112.6395,-0.3860763,-1.072651,-0.3271474
1,1,112.7507,-0.1941018,-1.081405,0.4081509
1,2,117.8644,0.203822,0.3576085,0.3700947
1,2,117.9645,0.2038479,0.3541037,0.3653076
1,2,118.0755,0.2072385,0.3520631,0.3660839
1,2,118.1758,0.2070778,0.3558974,0.3660011
1,2,118.2789,0.212493,0.1820275,0.3703504
1,2,118.382,0.2153113,-0.1354373,0.3618512
1,2,118.4836,0.22201,-0.5072584,0.3717822
1,2,118.5837,0.3010105,-0.9785104,0.284338
1,2,118.6837,0.3155688,-0.9778316,0.08197996
1,2,118.7947,0.04864547,-0.9401965,-0.1999898
1,2,118.8948,-0.3862053,-1.013324,-0.614883
1,2,119.0058,-0.5104979,-1.028952,-0.2902292
1,2,119.1058,-0.668041,-1.018259,-0.1340595
1,2,119.206,-0.9416165,-0.9607462,-0.02253419
1,2,119.306,-1.057283,-0.9802759,0.7643026
1,2,119.4169,-0.8925186,-0.9962834,1.290047
1,2,119.528,-0.707826,-0.9926974,1.54959
1,2,119.6287,-1.255066,-0.971234,1.406387
1,2,119.7392,-1.926013,-0.9712377,0.8070812
1,2,119.8501,-1.824447,-1.050777,0.3655455
1,2,119.9502,-1.749849,-1.055521,0.1502042
1,2,120.0613,-1.614407,-0.9958385,-0.001973867
1,2,120.1614,-0.3294141,-0.9890272,-0.003605306
1,2,120.2724,-0.08089164,-1.050526,-0.3124781
1,2,120.3834,-0.08781108,-1.045874,-0.9024847
1,2,120.4946,-0.3365352,-1.091408,-1.073914
1,2,120.6057,-0.3782369,-1.095443,-1.071632
1,2,120.7057,-0.3644421,-1.052903,-0.5786929
1,2,120.8058,-0.9253472,-1.048545,-0.1782587
1,2,120.9167,-0.9263715,-1.041459,-0.1898164
1,2,121.0168,-0.9192889,-1.033414,-0.5047202
1,2,121.1278,-1.40453,-1.079172,-1.043634
1,2,121.239,-1.570735,-1.044389,-1.111956
1,2,121.35,-2.040742,-1.047635,-0.4624799
1,2,121.4612,-2.034185,-1.053169,-0.002656877
1,2,121.5723,-2.028451,-1.065035,0.3699154
1,2,121.6835,-1.813621,-1.066934,0.377023
1,2,121.7946,-2.022619,-1.066773,0.3775975
1,2,121.9055,-2.40794,-1.009482,1.480186
1,2,122.0167,-2.456919,-1.086296,1.95467
1,2,122.1278,-2.059948,-1.072874,2.075428
1,2,122.2389,-1.514879,-1.076375,1.697797
1,2,122.3496,-0.9699358,-1.013016,1.04144
1,2,122.4497,-0.5685383,-1.014146,0.8801885
1,2,122.5497,0.02838019,-1.013532,0.8914522
1,2,122.6501,0.8460194,-1.015946,1.209648
1,2,122.761,1.536343,-1.021391,1.290632
1,2,122.8612,1.748873,-1.082044,0.9204097
1,2,122.9721,1.696456,-1.081379,0.6979203
1,2,123.0723,1.697688,-1.07573,0.6827691
1,2,123.1833,1.698516,-1.073243,0.6711396
1,2,123.2944,0.4870312,-1.056333,0.249043
1,2,123.3944,-0.1078242,-1.061368,-0.2017092
1,2,123.5054,-0.0750443,-1.07704,-0.1957833
1,2,123.6165,0.8906311,-1.020422,1.208733
1,2,123.7165,1.71388,-1.080703,1.696098
1,2,123.8172,1.898014,-1.010861,1.521231
1,2,123.9277,1.982096,-1.084816,0.8535118
1,2,124.0387,1.977589,-1.082587,0.6965094
1,2,124.1503,1.977252,-1.079698,0.7046479
1,2,124.261,1.648322,-1.011626,-0.465912
1,2,124.3611,1.207124,-1.071182,-0.8877075
1,2,124.4721,1.266859,-1.121959,-1.062351
1,2,124.5721,1.841587,-1.070934,-0.7261687
1,2,124.6831,2.343025,-1.074209,-0.1766224
1,2,124.7832,2.578255,-1.077667,-0.1553724
1,2,124.8833,2.276,-1.081321,-0.4943188
1,2,124.9944,1.28811,-1.134598,-1.04158
1,2,125.1053,1.028772,-1.075789,-1.162746
1,2,125.2055,1.138452,-1.07558,-0.8816989
1,2,125.3167,1.137878,-1.074572,-0.5192294
1,2,125.4278,1.085961,-1.043979,-0.5196672
1,2,125.5387,1.140433,-1.070321,-0.3299069
1,2,125.6498,1.139181,-1.068664,-0.1272357
2,1,130.7605,0.2625166,0.2178079,0.2731799
2,1,130.8702,0.2609137,0.2179713,0.272914
2,1,130.9703,0.2608154,0.2168884,0.27213
2,1,131.0813,0.2520123,0.2152679,0.2722673
2,1,131.1822,0.2613129,0.1074209,0.2755876
2,1,131.2827,0.3270214,-0.1811953,0.1508172
2,1,131.3828,0.3805936,-0.6578944,-0.08350754
2,1,131.4939,0.5054764,-0.9287444,-0.2537522
2,1,131.6049,0.6599067,-0.9328018,-0.2821276
2,1,131.705,0.866609,-0.935119,-0.2876074
2,1,131.8161,1.045743,-0.9368914,-0.475925
2,1,131.9164,1.173013,-0.9506192,-0.598837
2,1,132.0272,0.6383949,-0.9872721,-1.203475
2,1,132.1383,0.01686624,-1.00032,-1.263685
2,1,132.2494,-0.5291207,-0.9988736,-1.187967
2,1,132.3495,-0.7844958,-0.9517229,-0.9596846
2,1,132.4605,-0.6580747,-0.9679964,-0.5059993
2,1,132.5716,-0.1690375,-0.9703133,-0.2876311
2,1,132.6716,0.433137,-0.9618588,-0.3744264
2,1,132.7827,1.107272,-0.9641117,-0.3866829
2,1,132.8937,1.464566,-1.039036,-0.2015567
2,1,133.0048,1.251514,-1.028889,-0.1824733
2,1,133.1049,1.172928,-1.028782,-0.1880021
2,1,133.205,1.177533,-1.033473,-0.1919734
2,1,133.3158,1.177542,-0.9975091,-0.1071209
2,1,133.4162,0.6269649,-1.041168,1.129515
2,1,133.527,0.6590787,-1.052596,1.466403
2,1,133.6271,0.6131106,-1.045956,1.514326
2,1,133.7382,0.6403228,-1.041402,0.9810748
2,1,133.8494,0.8913194,-1.033916,0.6529995
2,1,133.9603,0.8470584,-1.02199,0.6327499
2,1,134.0603,0.4416665,-1.037177,0.6734893
2,1,134.1714,0.04720712,-1.033301,0.6702901
2,1,134.2715,0.05618274,-1.039097,0.6563206
2,1,134.3715,0.3437197,-1.049174,1.11036
2,1,134.4825,0.3964696,-1.008706,1.271863
2,1,134.5825,0.3252375,-1.038491,1.197309
2,1,134.6937,0.05025473,-1.041323,0.8090209
2,1,134.7937,0.061088,-1.046533,0.658828
2,1,134.8937,0.06484684,-1.049441,0.832328
2,1,135.0048,-0.5013989,-1.040298,1.022614
2,1,135.116,-1.069317,-1.062961,1.193918
2,1,135.2268,-1.153189,-1.043718,1.103187
2,1,135.3269,-0.958961,-1.07503,0.9797177
2,1,135.4269,-0.7760198,-1.035647,0.9569296
2,1,135.538,-0.2156562,-1.041755,0.8918124
2,1,135.649,-0.2164746,-1.049062,0.9146544
2,1,135.7491,-0.2236436,-1.034492,0.6475714
2,1,135.8491,-0.115484,-0.9853277,0.5377198
2,1,135.9603,1.169318,-0.9802048,0.3876371
2,1,136.0713,1.652032,-0.9847994,0.590583
2,1,136.1713,1.087971,-0.9740689,0.6038389
2,1,136.2713,0.1065677,-1.040495,0.6786425
