Trial Number,Trial Phase,Time,Position X,Position Y,Position Z
1,1,863.8831,0.2970228,1.001122,-0.7758561
1,1,863.9832,0.2923752,0.9975423,-0.7734887
1,1,864.0939,0.2926269,0.9932261,-0.772351
1,1,864.1943,0.2926168,0.976855,-0.7845291
1,1,864.2976,0.2696539,0.7579593,-0.9229236
1,1,864.4017,0.202995,0.488012,-1.06898
1,1,864.5027,0.07001415,0.1722421,-1.187201
1,1,864.6138,-0.1143291,-0.3970307,-1.295646
1,1,864.725,0.1654669,-0.7090312,-1.191258
1,1,864.836,0.4211003,-0.7025125,-1.118406
1,1,864.9473,0.5923223,-0.7016945,-1.035677
1,1,865.0583,0.7476343,-0.7028931,-0.9337102
1,1,865.1583,0.9072264,-0.6995326,-0.8012273
1,1,865.2584,0.9914838,-0.7178901,-0.6896845
1,1,865.3694,1.076974,-0.7008442,-0.6605498
1,1,865.4805,1.351613,-0.7585995,-0.5744928
1,1,865.5914,1.413275,-0.7629204,-0.5499043
1,1,865.6916,1.215921,-0.7579117,-0.6096874
1,1,865.8027,1.137391,-0.7193137,-0.6254556
1,1,865.9028,0.9856421,-0.7291015,-0.6092394
1,1,866.014,0.748507,-0.748262,-0.6237985
1,1,866.1249,0.7543926,-0.7513105,-0.6130351
1,1,866.236,1.009732,-0.7200391,-0.6170492
1,1,866.3472,1.314667,-0.7584209,-0.6351237
1,1,866.4582,1.416034,-0.7599556,-0.6125773
1,1,866.5583,1.255299,-0.7542819,-0.6436588
1,1,866.6693,1.133939,-0.7152862,-0.6303706
1,1,866.7693,0.9156963,-0.7497534,-0.6087484
1,1,866.8694,0.6342182,-0.7503545,-0.6054963
1,1,866.9803,0.28694,-0.7521217,-0.6101831
1,1,867.0804,0.05093497,-0.7278755,-0.6105466
1,1,867.1915,-0.15888,-0.7034097,-0.5848458
1,1,867.2916,-0.3854589,-0.7017327,-0.6098519
1,1,867.4028,-0.5790251,-0.7013026,-0.6209578
1,1,867.5135,-0.7664933,-0.7037608,-0.615549
1,1,867.6136,-0.867008,-0.7032792,-0.6211488
1,1,867.7138,-0.8370687,-0.7021505,-0.6360207
1,1,867.8248,-0.5495355,-0.7052751,-0.6850387
1,1,867.9359,-0.1276366,-0.7067041,-0.6971174
1,1,868.0361,0.2597464,-0.7580487,-0.6323696
1,1,868.147,0.6372156,-0.7606726,-0.5797407
1,1,868.258,0.9560483,-0.7438613,-0.3185481
1,1,868.358,1.080166,-0.7572345,-0.1721643
1,1,868.4581,1.208128,-0.7583715,-0.0740754
1,1,868.5692,1.342404,-0.7604293,-0.01160595
1,1,868.6804,1.0638,-0.7588383,-0.02727437
1,1,868.7913,0.6369331,-0.7443528,-0.04866886
1,1,868.9025,0.2644935,-0.7552148,-0.01053551
1,1,869.0026,-0.09971562,-0.7542476,-0.01546651
1,1,869.1135,-0.4210281,-0.7574043,0.02530423
1,1,869.2244,-0.6147884,-0.7094432,0.06904793
1,1,869.3245,-0.8204432,-0.7068986,0.04772159
1,1,869.4246,-0.9481624,-0.7062768,0.034996
1,1,869.5246,-0.8912688,-0.7065286,0.1411214
1,1,869.6357,-0.8303933,-0.7070384,0.3308561
1,1,869.7467,-0.75612,-0.7090232,0.5300953
1,1,869.8468,-0.6050633,-0.7091956,0.5914332
1,1,869.9578,-0.2507538,-0.7287319,0.5792699
1,1,870.058,-0.002678961,-0.7081846,0.5792908
1,1,870.169,0.377763,-0.7098919,0.632592
1,1,870.28,0.8253928,-0.7110388,0.7269191
1,1,870.3801,1.183513,-0.7094932,0.7988445
1,1,870.4805,1.437941,-0.7069494,0.8652931
1,1,870.5911,1.4059,-0.7093956,0.8749366
1,1,870.6913,1.134176,-0.7055604,0.8087478
1,2,875.8021,0.3030534,0.7814986,-0.8546769
1,2,875.902,0.2991567,0.7762203,-0.8503709
1,2,876.0129,0.2992172,0.7499886,-0.8324261
1,2,876.1129,0.3015771,0.7484139,-0.8319699
1,2,876.213,0.3174355,0.630844,-0.8647853
1,2,876.3132,0.5049118,0.1338654,-0.9228179
1,2,876.4243,0.909196,-0.457575,-0.8938358
1,2,876.5243,1.218727,-0.7308392,-0.7955344
1,2,876.6355,1.703349,-0.7858015,-0.6175141
1,2,876.7463,2.148076,-0.7879384,-0.5364481
1,2,876.8464,2.416122,-0.7868913,-0.487444
1,2,876.9575,2.579931,-0.7789937,-0.4489545
1,2,877.0687,2.621746,-0.7583126,-0.4662893
1,2,877.1797,2.665439,-0.7393508,-0.5158404
1,2,877.2797,2.689021,-0.7288896,-0.5267478
1,2,877.3799,2.675809,-0.7371157,-0.5399411
1,2,877.4908,2.6277,-0.7755823,-0.5352927
1,2,877.6021,2.537168,-0.8346936,-0.4806828
1,2,877.713,2.533335,-0.8430505,-0.443944
1,2,877.813,2.442639,-0.8332372,-0.4838937
1,2,877.9241,2.545015,-0.8245596,-0.4471574
1,2,878.0241,2.555487,-0.8221383,-0.4477013
1,2,878.1354,2.802212,-0.8399218,-0.4087603
1,2,878.2463,3.122972,-0.8339654,-0.3261469
1,2,878.3575,3.061235,-0.8378981,-0.3872421
1,2,878.4685,2.853528,-0.8322068,-0.477469
1,2,878.5685,2.793917,-0.8155101,-0.5256776
1,2,878.6686,2.758471,-0.7948901,-0.5103953
1,2,878.7797,2.542156,-0.8213937,-0.5410858
1,2,878.8907,2.245908,-0.8173419,-0.6165957
1,2,878.9908,2.306168,-0.8191916,-0.5511084
1,2,879.1019,2.599034,-0.7977052,-0.4817252
1,2,879.2129,2.647535,-0.7783012,-0.5495713
1,2,879.313,2.813527,-0.832081,-0.5066281
1,2,879.4241,3.022203,-0.8368126,-0.4481345
1,2,879.535,2.705109,-0.7680655,-0.5872342
1,2,879.6351,2.192475,-0.8169272,-0.5757127
1,2,879.735,1.697325,-0.8164234,-0.6439722
1,2,879.8352,1.359223,-0.816205,-0.6430563
1,2,879.9462,1.098532,-0.8034693,-0.6483269
1,2,880.0463,1.005867,-0.7612334,-0.607122
1,2,880.1573,0.7485846,-0.74854,-0.6331306
1,2,880.2574,0.7113578,-0.7445384,-0.5786082
1,2,880.3685,0.7542601,-0.7411611,-0.3345699
1,2,880.4796,0.8471076,-0.7375712,-0.1048722
1,2,880.5906,1.218879,-0.8125961,0.06094575
1,2,880.6906,1.517331,-0.7561133,0.132637
1,2,880.7907,1.941828,-0.7499837,0.1404882
1,2,880.9019,2.353382,-0.7510097,0.2344185
1,2,881.0129,2.674234,-0.7537658,0.2414111
1,2,881.1239,2.895487,-0.7531385,0.2753009
1,2,881.224,2.945876,-0.7501939,0.3185309
1,2,881.335,2.527025,-0.740989,0.2276203
1,2,881.4351,1.935289,-0.7386549,0.01604432
1,2,881.5462,1.085459,-0.7817176,-0.2513252
1,2,881.6462,0.3358063,-0.7387218,-0.4049841
1,2,881.7571,-0.2963841,-0.8087184,-0.5402942
1,2,881.8573,-0.5268023,-0.742669,-0.6026484
1,2,881.9683,-0.3319282,-0.8135848,-0.6291618
1,2,882.0684,-0.1633935,-0.8146574,-0.6449383
1,2,882.1794,-0.1252654,-0.8200147,-0.6558861
1,2,882.2908,-0.4013171,-0.8157121,-0.6732309
1,2,882.4017,-0.500782,-0.7685071,-0.6669299
1,2,882.5128,-0.6824508,-0.8142353,-0.643964
1,2,882.6248,-0.9715521,-0.8033811,-0.6454683
1,2,882.735,-1.226072,-0.811572,-0.6318222
1,2,882.8461,-1.424559,-0.8135885,-0.5845063
1,2,882.9572,-1.562147,-0.7952127,-0.5474655
1,2,883.0682,-1.82216,-0.7408649,-0.5271702
1,2,883.1793,-2.094888,-0.7395782,-0.5329013
1,2,883.2905,-2.303751,-0.7454945,-0.5229759
1,2,883.4016,-2.424802,-0.7447035,-0.4980714
1,2,883.5126,-2.514399,-0.7441607,-0.4509215
1,2,883.6127,-2.544321,-0.7452587,-0.3256224
1,2,883.7238,-2.424322,-0.7491072,-0.2096859
1,2,883.835,-2.093834,-0.8196235,-0.2616615
1,2,883.946,-1.810239,-0.8238306,-0.2941617
1,2,884.057,-1.487129,-0.8249978,-0.2877491
1,2,884.157,-1.248168,-0.8183102,-0.2726923
1,2,884.2571,-0.9931496,-0.8088146,-0.2968481
1,2,884.3682,-0.6371864,-0.8250069,-0.213322
1,2,884.4794,-0.3829969,-0.8219839,-0.185798
1,2,884.5905,-0.276832,-0.8221505,-0.174719
1,2,884.7015,-0.1627095,-0.8245368,-0.165107
1,2,884.8126,-0.199287,-0.8213606,-0.04904237
1,2,884.924,-0.2600981,-0.8170135,-0.03442818
1,2,885.0349,-0.4428727,-0.8023458,-0.003331035
1,2,885.1461,-0.700925,-0.7718071,0.0445984
1,2,885.2571,-0.9880047,-0.7441233,0.09687427
1,2,885.368,-1.174023,-0.7445641,0.2708776
1,2,885.4792,-1.376865,-0.743943,0.3536359
1,2,885.5792,-1.593707,-0.7419255,0.3736964
1,2,885.6793,-1.869089,-0.8096671,0.3764232
1,2,885.7904,-2.086792,-0.8128293,0.4361904
