Participant ID,Trial Number,Response,Correctness, Start Timestamp, End Timestamp
8,1,left,true,2023-08-07 07:45:44.164,2023-08-07 07:45:54.690
8,2,right,true,2023-08-07 07:46:11.727,2023-08-07 07:46:20.549
8,3,right,false,2023-08-07 07:46:37.581,2023-08-07 07:46:46.697
8,4,left,true,2023-08-07 07:47:03.736,2023-08-07 07:47:19.605
8,5,right,true,2023-08-07 07:47:36.644,2023-08-07 07:47:51.371
8,6,left,false,2023-08-07 07:48:08.408,2023-08-07 07:48:20.881
8,7,right,false,2023-08-07 07:48:37.917,2023-08-07 07:48:54.001
8,8,left,true,2023-08-07 07:49:11.038,2023-08-07 07:49:27.575
8,9,right,false,2023-08-07 07:49:44.614,2023-08-07 07:49:59.828
8,10,left,false,2023-08-07 07:50:16.868,2023-08-07 07:50:32.238
8,11,left,false,2023-08-07 07:50:49.276,2023-08-07 07:51:01.180
8,12,left,false,2023-08-07 07:51:18.218,2023-08-07 07:51:33.433
8,13,right,true,2023-08-07 07:51:50.473,2023-08-07 07:52:05.265
8,14,left,false,2023-08-07 07:52:22.302,2023-08-07 07:52:35.407
8,15,right,true,2023-08-07 07:52:52.446,2023-08-07 07:53:08.460
8,16,right,false,2023-08-07 07:58:57.399,2023-08-07 07:59:10.460
8,17,right,false,2023-08-07 07:59:27.497,2023-08-07 07:59:35.690
8,18,right,false,2023-08-07 07:59:52.718,2023-08-07 08:00:05.222
8,19,right,true,2023-08-07 08:00:22.260,2023-08-07 08:00:30.709
8,20,left,false,2023-08-07 08:00:47.747,2023-08-07 08:01:02.542
8,21,left,false,2023-08-07 08:01:19.578,2023-08-07 08:01:34.271
8,22,right,true,2023-08-07 08:01:51.298,2023-08-07 08:02:06.969
8,23,right,true,2023-08-07 08:02:23.996,2023-08-07 08:02:33.436
8,24,right,true,2023-08-07 08:02:50.472,2023-08-07 08:03:00.978
8,25,left,true,2023-08-07 08:03:18.015,2023-08-07 08:03:27.409
8,26,left,true,2023-08-07 08:03:44.447,2023-08-07 08:03:53.185
8,27,left,false,2023-08-07 08:04:10.223,2023-08-07 08:04:16.684
8,28,left,true,2023-08-07 08:04:33.711,2023-08-07 08:04:42.660
8,29,right,true,2023-08-07 08:04:59.687,2023-08-07 08:05:07.102
8,30,right,true,2023-08-07 08:05:24.142,2023-08-07 08:05:32.412
8,31,left,false,2023-08-07 08:09:48.412,2023-08-07 08:09:58.661
8,32,right,false,2023-08-07 08:10:15.698,2023-08-07 08:10:24.626
8,33,right,false,2023-08-07 08:10:41.665,2023-08-07 08:10:54.403
8,34,left,false,2023-08-07 08:11:11.440,2023-08-07 08:11:22.377
8,35,right,true,2023-08-07 08:11:39.418,2023-08-07 08:11:53.109
8,36,right,false,2023-08-07 08:12:10.136,2023-08-07 08:12:21.529
8,37,right,false,2023-08-07 08:12:38.555,2023-08-07 08:12:50.949
8,38,right,false,2023-08-07 08:13:07.985,2023-08-07 08:13:17.059
8,39,left,false,2023-08-07 08:13:34.098,2023-08-07 08:13:47.590
