Participant ID,Trial Number,Response,Correctness, Start Timestamp, End Timestamp
2,1,right,true,2023-08-03 07:59:58.194,2023-08-03 08:00:09.391
2,2,right,false,2023-08-03 08:00:26.415,2023-08-03 08:00:41.934
2,3,right,false,2023-08-03 08:00:58.968,2023-08-03 08:01:13.599
2,4,right,true,2023-08-03 08:01:30.621,2023-08-03 08:01:37.685
2,5,left,true,2023-08-03 08:01:54.721,2023-08-03 08:01:59.172
2,6,left,true,2023-08-03 08:02:16.197,2023-08-03 08:02:23.859
2,7,right,true,2023-08-03 08:02:40.884,2023-08-03 08:02:55.524
2,8,left,true,2023-08-03 08:03:12.547,2023-08-03 08:03:27.121
2,9,right,false,2023-08-03 08:03:44.157,2023-08-03 08:03:55.430
2,10,left,true,2023-08-03 08:04:12.467,2023-08-03 08:04:25.851
2,11,right,false,2023-08-03 08:04:42.886,2023-08-03 08:04:56.527
2,12,left,true,2023-08-03 08:05:13.550,2023-08-03 08:05:27.114
2,13,left,true,2023-08-03 08:05:44.149,2023-08-03 08:05:50.701
2,14,right,false,2023-08-03 08:06:07.737,2023-08-03 08:06:18.994
2,15,left,true,2023-08-03 08:06:36.023,2023-08-03 08:06:46.419
2,16,left,true,2023-08-03 08:12:08.946,2023-08-03 08:12:22.153
2,17,left,true,2023-08-03 08:12:39.189,2023-08-03 08:12:54.483
2,18,left,true,2023-08-03 08:13:11.519,2023-08-03 08:13:24.004
2,19,right,true,2023-08-03 08:13:41.040,2023-08-03 08:13:51.980
2,20,left,false,2023-08-03 08:14:09.004,2023-08-03 08:14:23.645
2,21,right,false,2023-08-03 08:14:40.680,2023-08-03 08:14:53.386
2,22,left,true,2023-08-03 08:15:10.412,2023-08-03 08:15:19.907
2,23,left,false,2023-08-03 08:15:36.942,2023-08-03 08:15:49.674
2,24,left,true,2023-08-03 08:16:06.706,2023-08-03 08:16:17.402
2,25,right,false,2023-08-03 08:16:34.439,2023-08-03 08:16:49.513
2,26,right,true,2023-08-03 08:17:06.536,2023-08-03 08:17:16.655
2,27,left,true,2023-08-03 08:17:33.689,2023-08-03 08:17:40.874
2,28,left,true,2023-08-03 08:17:57.911,2023-08-03 08:18:14.283
2,29,right,true,2023-08-03 08:18:31.320,2023-08-03 08:18:39.705
2,30,right,false,2023-08-03 08:18:56.740,2023-08-03 08:19:04.459
2,31,left,true,2023-08-03 08:25:43.101,2023-08-03 08:25:51.300
2,32,right,true,2023-08-03 08:26:08.333,2023-08-03 08:26:17.319
2,33,right,true,2023-08-03 08:26:34.343,2023-08-03 08:26:44.127
2,34,right,true,2023-08-03 08:27:01.163,2023-08-03 08:27:12.302
2,35,right,true,2023-08-03 08:27:29.328,2023-08-03 08:27:37.013
2,36,right,false,2023-08-03 08:27:54.050,2023-08-03 08:28:03.157
2,37,left,true,2023-08-03 08:28:20.190,2023-08-03 08:28:30.077
2,38,left,false,2023-08-03 08:28:47.111,2023-08-03 08:28:59.930
2,39,right,false,2023-08-03 08:29:16.965,2023-08-03 08:29:31.650
2,40,right,true,2023-08-03 08:29:48.689,2023-08-03 08:29:54.937
2,41,left,false,2023-08-03 08:30:11.960,2023-08-03 08:30:19.401
2,42,right,true,2023-08-03 08:30:36.437,2023-08-03 08:30:52.699
2,43,left,true,2023-08-03 08:31:09.724,2023-08-03 08:31:24.630
2,44,left,false,2023-08-03 08:31:41.667,2023-08-03 08:31:56.729
2,45,right,true,2023-08-03 08:32:13.764,2023-08-03 08:32:31.114
2,46,right,true,2023-08-03 08:39:13.470,2023-08-03 08:39:26.254
2,47,left,false,2023-08-03 08:39:43.290,2023-08-03 08:39:57.851
2,48,left,true,2023-08-03 08:40:14.887,2023-08-03 08:40:20.541
2,49,left,true,2023-08-03 08:40:37.575,2023-08-03 08:40:51.769
2,50,right,true,2023-08-03 08:41:08.795,2023-08-03 08:41:19.801
2,51,right,true,2023-08-03 08:41:36.837,2023-08-03 08:41:43.278
2,52,right,true,2023-08-03 08:42:00.315,2023-08-03 08:42:07.199
2,53,right,true,2023-08-03 08:42:24.234,2023-08-03 08:42:28.264
2,54,right,true,2023-08-03 08:42:45.301,2023-08-03 08:42:48.642
2,55,right,true,2023-08-03 08:43:05.677,2023-08-03 08:43:10.339
2,56,right,true,2023-08-03 08:43:27.374,2023-08-03 08:43:36.828
2,57,left,true,2023-08-03 08:43:53.861,2023-08-03 08:44:01.492
2,58,right,true,2023-08-03 08:44:18.526,2023-08-03 08:44:23.891
2,59,left,true,2023-08-03 08:44:40.926,2023-08-03 08:44:48.932
2,60,right,true,2023-08-03 08:45:05.968,2023-08-03 08:45:18.375
2,61,right,false,2023-08-03 08:50:18.191,2023-08-03 08:50:27.002
2,62,right,false,2023-08-03 08:50:44.035,2023-08-03 08:50:50.707
2,63,left,false,2023-08-03 08:51:07.744,2023-08-03 08:51:17.618
2,64,right,true,2023-08-03 08:51:34.653,2023-08-03 08:51:48.503
2,65,left,true,2023-08-03 08:52:05.528,2023-08-03 08:52:10.346
2,66,left,true,2023-08-03 08:52:27.371,2023-08-03 08:52:37.291
2,67,right,true,2023-08-03 08:52:54.313,2023-08-03 08:53:03.610
2,68,right,false,2023-08-03 08:53:20.645,2023-08-03 08:53:28.888
2,69,right,true,2023-08-03 08:53:45.921,2023-08-03 08:53:51.784
2,70,left,true,2023-08-03 08:54:08.820,2023-08-03 08:54:18.750
2,71,left,true,2023-08-03 08:54:35.785,2023-08-03 08:54:41.147
2,72,right,true,2023-08-03 08:54:58.185,2023-08-03 08:55:05.889
2,73,left,true,2023-08-03 08:55:22.915,2023-08-03 08:55:35.000
2,74,left,true,2023-08-03 08:55:52.024,2023-08-03 08:56:04.997
2,75,right,false,2023-08-03 08:56:22.023,2023-08-03 08:56:32.518
2,76,right,true,2023-08-03 09:00:22.974,2023-08-03 09:00:26.960
2,77,right,true,2023-08-03 09:00:43.994,2023-08-03 09:00:49.969
2,78,right,true,2023-08-03 09:01:07.003,2023-08-03 09:01:16.721
2,79,right,true,2023-08-03 09:01:33.758,2023-08-03 09:01:38.964
2,80,left,true,2023-08-03 09:01:56.000,2023-08-03 09:02:02.418
2,81,right,true,2023-08-03 09:02:19.454,2023-08-03 09:02:30.983
2,82,right,true,2023-08-03 09:02:48.018,2023-08-03 09:02:56.715
2,83,left,true,2023-08-03 09:03:13.751,2023-08-03 09:03:24.959
2,84,right,true,2023-08-03 09:03:41.992,2023-08-03 09:03:49.189
2,85,right,true,2023-08-03 09:04:06.213,2023-08-03 09:04:12.820
2,86,left,true,2023-08-03 09:04:29.856,2023-08-03 09:04:40.608
2,87,right,false,2023-08-03 09:04:57.632,2023-08-03 09:05:13.049
2,88,left,false,2023-08-03 09:05:30.074,2023-08-03 09:05:45.692
