Trial Number,Trial Phase,Time,Position X,Position Y,Position Z
1,1,144.061,0.3179253,1.045124,-0.8642293
1,1,144.1612,0.3178775,1.053787,-0.8574819
1,1,144.2612,0.3175191,1.056786,-0.8498304
1,1,144.3721,0.305555,1.044019,-0.8412028
1,1,144.4743,0.2983036,0.8953432,-0.7987896
1,1,144.5767,0.3020495,0.7211245,-0.7931839
1,1,144.6775,0.3083858,0.5042,-0.7863782
1,1,144.7776,0.307407,0.1683735,-0.7918194
1,1,144.8887,0.2767887,-0.2511309,-0.8768157
1,1,144.9998,0.2602943,-0.4955149,-0.9365925
1,1,145.1108,0.2542528,-0.6075732,-0.9568846
1,1,145.2219,0.2494612,-0.7057567,-0.9788603
1,1,145.3219,0.2439484,-0.710148,-0.9699534
1,1,145.4331,0.2401422,-0.7194656,-0.9443156
1,1,145.5331,0.2385705,-0.7387902,-0.8909281
1,1,145.6444,0.2270595,-0.7537829,-0.8510377
1,1,145.7559,0.1866066,-0.7503505,-0.8501894
1,1,145.8664,0.1557306,-0.7553926,-0.8467341
1,1,145.9667,0.1362387,-0.7509961,-0.845473
1,1,146.0774,0.1316368,-0.7532047,-0.829558
1,1,146.1775,0.131268,-0.7531065,-0.8275107
1,1,146.2885,0.1344163,-0.7523516,-0.797281
1,1,146.3999,0.135686,-0.7475984,-0.7189092
1,1,146.5107,0.1367659,-0.7509601,-0.6895084
1,1,146.6108,0.1392204,-0.749192,-0.6510634
1,1,146.7218,0.1409725,-0.7490584,-0.5934198
1,1,146.8225,0.1412228,-0.7414902,-0.5485401
1,1,146.9329,0.1414911,-0.7467039,-0.4593496
1,1,147.033,0.1412451,-0.7449664,-0.3867252
1,1,147.144,0.1411085,-0.7459186,-0.3381466
1,1,147.244,0.1360659,-0.7447689,-0.2862289
1,1,147.344,0.1247412,-0.7444659,-0.2526247
1,1,147.4551,0.1243076,-0.7444324,-0.1910286
1,1,147.566,0.1255584,-0.7459921,-0.1354834
1,1,147.6662,0.1269766,-0.7440732,-0.07853717
1,1,147.7773,0.1280951,-0.7440143,-0.03798223
1,1,147.8884,0.1227762,-0.7452176,-0.036239
1,1,147.9885,0.1208007,-0.7434629,-0.03450459
1,1,148.0994,0.1083178,-0.7453964,-0.03407377
1,1,148.2105,0.1088514,-0.7447027,-0.03467301
1,1,148.3107,0.1087587,-0.743167,-0.03441092
1,1,148.4108,0.1091226,-0.7413043,-0.02999645
1,1,148.5216,0.1080371,-0.7417405,-0.02359429
1,1,148.6217,0.1069933,-0.735866,-0.01055646
1,1,148.7329,0.1023013,-0.7299589,0.003444821
1,1,148.844,0.1032712,-0.7256378,0.01627564
1,1,148.9552,0.1029585,-0.7222735,0.02294776
1,1,149.0552,0.1061069,-0.7069452,0.06296486
1,1,149.1661,0.1106412,-0.6913687,0.1993844
1,1,149.2772,0.1203707,-0.6908262,0.3235291
1,1,149.3884,0.1207117,-0.6903122,0.3840763
1,1,149.4885,0.1241556,-0.6901903,0.4411886
1,1,149.5994,0.1244527,-0.6907001,0.5067506
1,1,149.6995,0.1225772,-0.6906617,0.5604133
1,1,149.8106,0.1263567,-0.6905146,0.6179087
1,1,149.9106,0.1399741,-0.7217383,0.7320327
1,1,150.0215,0.1400954,-0.7440498,0.8472353
1,1,150.1217,0.1406381,-0.7426859,0.8987653
1,1,150.2327,0.1423167,-0.7437868,0.9613895
1,1,150.3437,0.1442245,-0.7450017,1.034393
1,1,150.4438,0.1428244,-0.7445471,1.054077
1,1,150.555,0.1380326,-0.7420171,1.066445
1,1,150.6658,0.1335443,-0.7291744,1.10904
1,1,150.7659,0.1263867,-0.719506,1.134238
1,1,150.8771,0.1262887,-0.7074528,1.164786
1,2,155.9886,0.298189,0.8004115,-0.8159483
1,2,156.0986,0.2979329,0.7991655,-0.8170025
1,2,156.2097,0.29842,0.7983296,-0.8181046
1,2,156.3097,0.2984113,0.7971988,-0.818624
1,2,156.4102,0.260883,0.7528766,-0.8562137
1,2,156.5103,0.02843949,0.3800492,-0.9843298
1,2,156.6212,-0.3885364,-0.4547676,-1.159404
1,2,156.7322,-0.6648179,-0.7018597,-1.145832
1,2,156.8325,-0.8629235,-0.7013723,-1.099858
1,2,156.9434,-1.128094,-0.7009931,-1.028308
1,2,157.0436,-1.366878,-0.7417043,-0.9221875
1,2,157.1546,-1.435382,-0.7618793,-0.8960256
1,2,157.2549,-1.358976,-0.7641112,-0.9041473
1,2,157.3657,-1.268139,-0.7597054,-0.9226181
1,2,157.4657,-1.260998,-0.7704627,-0.8970733
1,2,157.5658,-1.267124,-0.7689122,-0.8966762
1,2,157.677,-1.25516,-0.7690715,-0.895308
1,2,157.7879,-1.258078,-0.7720629,-0.8753317
1,2,157.8989,-1.259802,-0.7740511,-0.8170146
1,2,157.999,-1.252216,-0.772755,-0.7624015
1,2,158.1102,-1.24207,-0.7723085,-0.6891045
1,2,158.2103,-1.244195,-0.7721233,-0.6183708
1,2,158.3211,-1.249384,-0.7669811,-0.5991768
1,2,158.4211,-1.250242,-0.7584832,-0.582868
1,2,158.5212,-1.251498,-0.7499027,-0.5619279
1,2,158.6323,-1.246981,-0.7424849,-0.543101
1,2,158.7436,-1.234716,-0.7267756,-0.508199
1,2,158.8546,-1.220715,-0.7139553,-0.4303344
1,2,158.9547,-1.172713,-0.7136286,-0.285827
1,2,159.0656,-1.154544,-0.7160054,-0.2110899
1,2,159.1657,-1.156947,-0.7148383,-0.168881
1,2,159.2657,-1.146163,-0.71467,-0.09507948
1,2,159.3768,-1.1346,-0.7154612,0.003113896
1,2,159.4768,-1.122541,-0.715883,0.1085764
1,2,159.5877,-1.121027,-0.7175786,0.2001848
1,2,159.6877,-1.113263,-0.718186,0.2983757
1,2,159.7877,-1.110479,-0.7190326,0.3927725
1,2,159.8877,-1.113944,-0.7190069,0.4710468
1,2,159.9879,-1.103259,-0.7189887,0.5799004
1,2,160.099,-1.086709,-0.7201787,0.6882752
1,2,160.2101,-1.13618,-0.7471896,0.8038951
1,2,160.3208,-1.193896,-0.7766033,0.9013222
1,2,160.421,-1.211239,-0.7843838,0.9559352
1,2,160.5215,-1.212797,-0.7808688,1.003572
1,2,160.6321,-1.213925,-0.7874517,1.033342
1,2,160.7321,-1.214635,-0.788273,1.034397
1,2,160.8322,-1.214791,-0.7789569,1.051834
1,2,160.9432,-1.215567,-0.7529197,1.113104
1,2,161.0543,-1.194343,-0.7302378,1.227796
1,2,161.1653,-1.082627,-0.7364819,1.435832
1,2,161.2654,-1.039504,-0.7386647,1.522665
1,2,161.3764,-1.015274,-0.7400584,1.568087
1,2,161.4875,-0.7812196,-0.7422206,1.542505
1,2,161.5875,-0.2905593,-0.7413487,1.554563
1,2,161.6875,0.2977434,-0.7399803,1.647916
1,2,161.7987,0.9334897,-0.7418653,1.832865
1,2,161.9097,1.422508,-0.7630249,1.96298
1,2,162.0211,1.545809,-0.7680409,1.998591
1,2,162.132,1.582875,-0.764396,1.948773
1,2,162.243,1.583656,-0.7510099,1.841375
1,2,162.3542,1.590676,-0.7451278,1.750599
1,2,162.4653,1.592391,-0.7438214,1.745541
1,2,162.5764,1.586561,-0.7476273,1.613647
1,2,162.6874,1.701383,-0.7467976,0.6814736
1,2,162.7986,1.837302,-0.8310788,-0.3317544
1,2,162.9097,1.823786,-0.727682,-0.7028987
1,2,163.0098,1.623496,-0.7409269,-0.8831939
1,2,163.1208,1.562904,-0.7376114,-0.8824782
