Trial Number,Trial Phase,Time,Position X,Position Y,Position Z
1,1,686.4669,0.2021187,0.9633219,-1.025349
1,1,686.5669,0.2036829,0.9719818,-1.035614
1,1,686.678,0.199185,0.9548606,-1.057159
1,1,686.7891,0.1887522,0.9394542,-1.063901
1,1,686.8904,0.1679317,0.8944116,-1.058378
1,1,686.9931,0.1102112,0.709816,-1.004444
1,1,687.0943,0.05550715,0.5590909,-1.023502
1,1,687.2053,0.05309948,0.3159404,-0.9775264
1,1,687.3165,0.05520961,0.1184403,-0.8775828
1,1,687.4275,0.0795379,-0.1922366,-0.8351977
1,1,687.5386,0.07742003,-0.4856818,-0.7973607
1,1,687.6495,0.05274099,-0.5681398,-0.6761178
1,1,687.7498,-0.0001841187,-0.5676046,-0.6322709
1,1,687.8607,-0.2034362,-0.5666366,-0.6305403
1,1,687.9608,-0.4274131,-0.5607337,-0.6323374
1,1,688.0609,-0.3969729,-0.5564651,-0.6043389
1,1,688.1718,-0.3798061,-0.5587474,-0.5366724
1,1,688.272,-0.396983,-0.5698478,-0.3382719
1,1,688.3832,-0.6719791,-0.583535,-0.1906211
1,1,688.4941,-0.7776872,-0.6085294,-0.06677812
1,1,688.6051,-0.6893822,-0.6305526,0.111626
1,1,688.7051,-0.6107374,-0.6511902,0.3268378
1,1,688.8161,-0.4872232,-0.6808023,0.5653549
1,1,688.9162,-0.3939709,-0.677768,0.599383
1,1,689.0272,-0.304876,-0.6668617,0.5550278
1,1,689.1273,-0.1436772,-0.6898736,0.6982536
1,1,689.2385,0.03765479,-0.7122037,0.8347791
1,1,689.3497,0.247777,-0.694195,0.7966999
1,1,689.4609,0.3783619,-0.6785255,0.8276098
1,1,689.5719,0.5649034,-0.6801039,0.9014698
1,1,689.683,0.8535298,-0.6793215,0.9120947
1,1,689.7939,0.9813546,-0.6834745,0.9602984
1,1,689.9052,0.7791218,-0.6877351,0.9409252
1,1,690.0164,0.3291379,-0.6774982,0.8409093
1,1,690.1274,-0.1203882,-0.6790916,0.7122419
1,1,690.2385,-0.09131995,-0.6778999,0.633468
1,1,690.3497,0.168817,-0.6780521,0.6303278
1,1,690.4605,0.4284137,-0.6860129,0.7305313
1,1,690.5606,0.3712664,-0.6898133,0.7772381
1,1,690.6718,0.07449037,-0.6859854,0.7067924
1,1,690.7717,-0.01054099,-0.672274,0.5567641
1,1,690.8828,0.01616302,-0.6597341,0.4346969
1,1,690.9938,-0.08533934,-0.6395334,0.2816687
1,1,691.0939,-0.2655747,-0.6262347,0.1523455
1,1,691.194,-0.5230532,-0.6189371,0.0437876
1,1,691.3051,-0.5693126,-0.637691,0.02945623
1,1,691.4163,-0.5401484,-0.643064,0.06816277
1,1,691.5271,-0.4666506,-0.6575335,0.1833288
1,1,691.6272,-0.4621808,-0.6496843,0.1303151
1,1,691.7272,-0.462066,-0.622851,-0.06857938
1,1,691.8383,-0.3655601,-0.5998597,-0.2400383
1,1,691.9493,-0.1887282,-0.5872342,-0.3240523
1,1,692.0494,-0.006271243,-0.575488,-0.3803198
1,1,692.1606,0.02102676,-0.5639446,-0.5390569
1,1,692.2717,0.03200033,-0.5549437,-0.6762717
1,1,692.3828,0.2339595,-0.5572811,-0.6720869
1,1,692.4938,0.4498352,-0.5567341,-0.6472033
1,1,692.6051,0.7296097,-0.551109,-0.6772743
1,1,692.7161,1.062815,-0.5564935,-0.6189741
1,1,692.8271,1.220346,-0.5626739,-0.5528436
1,1,692.9382,1.221579,-0.5629823,-0.5260959
1,1,693.0383,1.19331,-0.5637972,-0.4828631
1,1,693.1494,1.114941,-0.5625077,-0.6566736
1,1,693.2605,0.8577746,-0.5547345,-0.8854118
1,1,693.3605,0.4063298,-0.5434959,-0.9703358
1,2,698.4713,0.215961,0.6843625,-0.817677
1,2,698.5823,0.2157962,0.6850201,-0.8188021
1,2,698.6933,0.2157987,0.6872892,-0.8203309
1,2,698.7934,0.2159678,0.6839624,-0.8213668
1,2,698.8935,0.2049206,0.4831612,-0.781859
1,2,699.0046,-0.005585998,-0.01142541,-0.6539503
1,2,699.1157,-0.2342912,-0.3331968,-0.5231612
1,2,699.2268,-0.4859501,-0.5327628,-0.5107424
1,2,699.3378,-0.7253445,-0.6353414,-0.4770243
1,2,699.4378,-0.9462029,-0.6306977,-0.4081233
