Trial Number,Trial Phase,Time,Position X,Position Y,Position Z
1,1,136.9298,0.2031361,0.5072148,0.6087043
1,1,137.0316,0.2013618,0.5021369,0.6088284
1,1,137.3083,0.09971222,0.3013642,0.654765
1,1,137.4207,0.01550958,0.1183578,0.7671583
1,1,137.5316,-0.1151409,-0.5030549,1.116913
1,1,137.6426,-0.1221513,-0.7316,1.19448
1,1,137.7427,-0.1109265,-0.7262841,1.200529
1,1,137.8427,-0.09216854,-0.7162263,1.119647
1,1,137.9446,-0.2342968,-0.6982499,1.044067
1,1,138.0475,-0.3361124,-0.679317,1.029045
1,1,138.1476,-0.3460962,-0.6794584,1.068717
1,1,138.2476,-0.1331125,-0.6809283,1.030613
1,1,138.3476,0.2581109,-0.6828843,1.092094
1,1,138.4476,0.5472436,-0.6832343,1.194788
1,1,138.5586,0.750911,-0.686367,1.234349
1,1,138.6586,0.6842626,-0.6861196,1.171173
1,1,138.7697,0.3884752,-0.6857272,1.022669
1,1,138.8698,0.3919533,-0.6844594,1.033384
1,1,138.97,0.4691211,-0.6829298,1.030363
1,1,139.0808,0.2526573,-0.6855545,0.9069985
1,1,139.1808,0.08858636,-0.6842427,0.9308406
1,1,139.2809,0.1669675,-0.6833599,1.053866
1,1,139.3919,0.3683017,-0.6850502,1.089722
1,1,139.4919,0.2904432,-0.6862986,1.064394
1,1,139.6031,0.02129462,-0.6851231,0.9926298
1,1,139.7141,0.1686382,-0.6847836,1.044113
1,1,139.8141,0.5473034,-0.6858385,1.107088
1,1,139.9142,0.6123148,-0.6864678,1.046824
1,1,140.0142,0.3898634,-0.6866424,0.8311607
1,1,140.1253,0.2907488,-0.6870685,0.3815864
1,1,140.2363,0.6083635,-0.6871419,0.1345955
1,1,140.3474,0.8251241,-0.6886321,-0.03709018
1,1,140.4585,0.7573057,-0.6895193,-0.2429646
1,1,140.5696,0.7677745,-0.6908711,-0.2748696
1,1,140.6696,0.6927325,-0.6903274,-0.2561349
1,1,140.7806,0.2876009,-0.6881976,-0.3052742
1,1,140.8807,0.1959258,-0.6863437,-0.2845358
1,1,140.9919,0.2139258,-0.6862962,-0.2223075
1,1,141.092,-0.06271249,-0.6825557,-0.2454824
1,1,141.2029,-0.5184039,-0.680768,-0.2768712
1,1,141.303,-0.7094718,-0.6800308,-0.2390515
1,1,141.4031,-0.8157054,-0.6789574,-0.2177205
1,1,141.514,-0.7819654,-0.6798056,-0.1988901
1,1,141.6142,-0.6478447,-0.6798294,0.05265585
1,1,141.7252,-0.583836,-0.6826993,0.2298003
1,1,141.8362,-0.5845253,-0.6821424,0.2224801
1,1,141.9474,-0.4265136,-0.6822949,0.3569185
1,1,142.0583,-0.1889991,-0.6861898,0.6454399
1,1,142.1585,-0.2639074,-0.6829326,0.6278191
1,1,142.2695,-0.4514092,-0.6827952,0.5025291
1,1,142.3697,-0.3769149,-0.6812456,0.2782353
1,1,142.4806,-0.1975383,-0.6834593,0.03047156
1,1,142.5807,-0.1068119,-0.6826732,-0.01444423
1,1,142.6918,0.117359,-0.6825183,0.01085117
1,1,142.8028,0.3568331,-0.6853016,-0.000349015
1,1,142.9029,0.4256671,-0.6856172,-0.1229403
1,1,143.0139,0.4117576,-0.6886281,-0.3738825
1,1,143.114,0.3785973,-0.6885726,-0.4969897
1,1,143.2251,0.4033962,-0.6892122,-0.5201077
1,1,143.3251,0.623064,-0.6911525,-0.4992698
1,1,143.4361,0.8045186,-0.6945775,-0.4767185
1,1,143.5472,0.7790226,-0.6938965,-0.3292946
1,1,143.6472,0.7168331,-0.6897509,-0.121219
1,1,143.7473,0.743953,-0.6865781,0.01801759
1,2,148.8668,0.2810914,0.4254059,0.3681127
1,2,148.9752,0.281601,0.4346809,0.3752219
1,2,149.0752,0.2793464,0.4412771,0.3817841
1,2,149.1753,0.2791139,0.4362795,0.3762928
1,2,149.2863,0.2332162,0.4047113,0.3463497
1,2,149.3884,-0.08552465,0.1906251,0.250515
1,2,149.491,-0.5124675,-0.2262419,0.06863576
1,2,149.5917,-0.9456789,-0.6772714,-0.0658893
1,2,149.7024,-1.13513,-0.6891437,-0.1234927
1,2,149.8145,-1.479926,-0.6818712,-0.1549946
1,2,149.9245,-1.860715,-0.733798,-0.315981
1,2,150.0245,-2.091312,-0.7179392,-0.3305019
1,2,150.1357,-2.340362,-0.69166,-0.1709916
1,2,150.2469,-2.427101,-0.6923448,-0.0849272
1,2,150.3578,-2.545319,-0.6959298,0.02401924
1,2,150.4578,-2.607453,-0.6976814,0.1937749
1,2,150.5689,-2.369604,-0.6976402,0.2125786
1,2,150.6691,-2.111295,-0.727322,0.1865059
1,2,150.7801,-1.936013,-0.7507633,0.128384
1,2,150.8803,-1.871341,-0.7489868,0.1069582
1,2,150.9912,-1.916225,-0.7532798,0.3517659
1,2,151.0913,-1.929592,-0.745871,0.5101575
1,2,151.1918,-1.960834,-0.7088925,0.5711424
1,2,151.3023,-2.012429,-0.7544193,0.4838564
1,2,151.4023,-2.068972,-0.7498394,0.25303
1,2,151.5133,-2.067155,-0.7513137,-0.04202595
1,2,151.6134,-2.068983,-0.7540753,-0.2929485
1,2,151.7244,-2.072599,-0.7589886,-0.4271963
1,2,151.8244,-2.07646,-0.7580549,-0.4718474
1,2,151.9245,-2.034087,-0.7610785,-0.5657694
1,2,152.0245,-1.743232,-0.7752364,-0.6611065
1,2,152.1245,-1.471571,-0.7931347,-0.7093759
1,2,152.2355,-1.280192,-0.8071752,-0.7549475
1,2,152.3365,-1.175376,-0.8392245,-0.7025213
1,2,152.4466,-0.8768978,-0.7924393,-0.5852503
1,2,152.5577,-0.8948494,-0.7911647,-0.3759798
1,2,152.6689,-0.8811104,-0.7804598,-0.1361716
1,2,152.78,-0.8901031,-0.7356511,0.03163725
1,2,152.891,-0.8242139,-0.6742169,0.4548733
1,2,152.9911,-0.8310856,-0.6763382,0.7248709
1,2,153.1021,-1.089543,-0.6695782,0.8249002
1,2,153.2021,-1.367472,-0.7359151,0.8860977
1,2,153.3022,-1.298593,-0.7540401,1.020196
1,2,153.4134,-1.221129,-0.7241282,1.073278
1,2,153.5244,-1.245535,-0.75266,1.037815
1,2,153.6245,-1.326119,-0.7417223,0.8829832
1,2,153.7355,-1.499588,-0.6797044,0.6461992
1,2,153.8466,-1.605376,-0.6604086,0.3587444
1,2,153.9577,-1.607881,-0.6566359,0.01843494
1,2,154.0688,-1.293559,-0.6628004,-0.2308717
1,2,154.1688,-0.588552,-0.7317422,-0.05992872
1,2,154.2688,0.2220576,-0.6758696,0.3793574
1,2,154.3688,0.8759953,-0.6878271,0.3646719
1,2,154.4797,1.409682,-0.7659405,0.07587576
1,2,154.5798,1.569491,-0.7604164,-0.01972264
1,2,154.691,1.222058,-0.7502521,-0.1675159
1,2,154.8021,1.168185,-0.7389731,-0.128818
